etID  | Input | Balkan Romance | Common Romanian | Output {GOLD}
0      | #ˈaː# | *#ˈa# | *#ˈa# | *#ˈa# {GOLD: #ˈa#}
1      | #ˌabellˈoːnam# | *#allˈona# | *#alˈunə# | *#alˈunə# {GOLD: #alˈunə#}
2      | #ˈad# | *#ˈa# | *#ˈa# | *#ˈa# {GOLD: #ˈa#}
3      | #ˌadˌakwˈaː# | *#adapˈa# | *#adəpˈa# | *#adəpˈa# {GOLD: #adəpˈa#}
4      | #ˌadˌappˈositum# | *#adapˈostu# | *#adəpˈostu# | *#adəpˈost# {GOLD: #adəpˈost#}
5      | #ˌadˌastˈaː# | *#adastˈa# | *#adəstˈa# | *#adəstˈa# {GOLD: #adəstˈa#}
6      | #ˌadˌawɡˈaː# | *#adawɡˈa# | *#adəwɡˈa# | *#adəwɡˈa# {GOLD: #adəwɡˈa#}
7      | #ˌaddˌewˈeːrum# | *#adevˈeru# | *#adevˈeɾu# | *#adevˈər# {GOLD: #adevˈər#}
8      | #ˌadˌidˈipsum# | *#adidˈensu# | *#ad͡zidˈensu# | *#azidˈins# {GOLD: #adˈins#}
9      | #ˌadiˈuːnɡe# | *#aɟ͡ʑˈunɟ͡ʑe# | *#ad͡ʒˈund͡ʒe# | *#aʒˈund͡ʒe# {GOLD: #aʒˈund͡ʒe#}
10     | #ˌadiˌuːtˈoːrium# | *#aɟ͡ʑutˈojru# | *#ad͡ʒutˈojɾu# | *#aʒutˈor# {GOLD: #aʒutˈor#}
11     | #ˌadlˈatera# | *#allˈatera# | *#alˈateɾə# | *#alˈaterə# {GOLD: #alˈəturj#}
12     | #ˌadlˈeɡe# | *#allˈɛɟ͡ʑe# | *#ale̯ˈad͡ʒe# | *#alˈed͡ʒe# {GOLD: #alˈed͡ʒe#}
13     | #ˌallˌentˈaː# | *#allentˈa# | *#alentˈa# | *#alintˈa# {GOLD: #alintˈa#}
14     | #ˌadlˌonɡˈaː# | *#allonɡˈa# | *#alunɡˈa# | *#alunɡˈa# {GOLD: #alunɡˈa#}
15     | #ˌadmˌaɡˈiː# | *#amaɟ͡ʑˈi# | *#aməd͡ʒˈi# | *#aməd͡ʒˈi# {GOLD: #aməd͡ʒˈi#}
16     | #ˌadmˌiːnakiˈaː# | *#aminat͡sʲˈa# | *#aminət͡sˈa# | *#aminət͡sˈa# {GOLD: #amenint͡sˈa#}
17     | #ˌadnˌinˈaː# | *#anninˈa# | *#anninˈa# | *#aninˈa# {GOLD: #aninˈa#}
18     | #ˌadˌoliˈaː# | *#adoljˈa# | *#adoʎˈa# | *#adojˈa# {GOLD: #adiˈa#}
19     | #ˌaddˌormˈiː# | *#adormˈi# | *#adoɾmˈi# | *#adormˈi# {GOLD: #adormˈi#}
20     | #ˌadplˌikˈaː# | *#aplekˈa# | *#aplekˈa# | *#aplekˈa# {GOLD: #aplekˈa#}
21     | #ˌadpˈoːne# | *#apˈone# | *#apˈune# | *#apˈune# {GOLD: #apˈune#}
22     | #ˌadpˈost# | *#apˈoj# | *#apˈoj# | *#apˈoj# {GOLD: #apˈoj#}
23     | #ˌadprˌehˈende# | *#aprjˈɛnde# | *#apɾjˈende# | *#aprˈinde# {GOLD: #aprˈinde#}
24     | #ˌadprˈope# | *#aprˈope# | *#apɾo̯ˈape# | *#apro̯ˈape# {GOLD: #apro̯ˈape#}
25     | #ˌaddˈuːke# | *#adˈuc͡ɕe# | *#adˈut͡ʃe# | *#adˈut͡ʃe# {GOLD: #adˈut͡ʃe#}
26     | #ˌadˌumbrˈiː# | *#adumbrˈi# | *#adumbɾˈi# | *#adumbrˈi# {GOLD: #adumbrˈi#}
27     | #ˌadˌunkˈaː# | *#adunkˈa# | *#adɨnkˈa# | *#adɨnkˈa# {GOLD: #adɨnkˈa#}
28     | #ˌadˈunkum# | *#adˈunku# | *#adˈunku# | *#adˈunk# {GOLD: #adˈɨnk#}
29     | #ˈaːeːr# | *#ˈajer# | *#ˈajer# | *#ˈajer# {GOLD: #ˈajer#}
30     | #ˌae̯rˈaːmam# | *#arˈama# | *#aɾˈamə# | *#arˈamə# {GOLD: #arˈamə#}
31     | #ˌafflˈaː# | *#aflˈa# | *#aflˈa# | *#aflˈa# {GOLD: #aflˈa#}
32     | #ˌaɡɡˈestum# | *#aɟ͡ʑˈɛstu# | *#ad͡ʒˈestu# | *#ad͡ʒˈest# {GOLD: #ad͡ʒˈest#}
33     | #ˈaɡilem# | *#ˈaɟ͡ʑele# | *#ˈad͡ʒeɾe# | *#ˈad͡ʒere# {GOLD: #ˈad͡ʒer#}
34     | #ˌaɡurˈaː# | *#aɡurˈa# | *#aɡuɾˈa# | *#aɡurˈa# {GOLD: #aɡurˈa#}
35     | #ˌaɡˈustum# | *#aɡˈustu# | *#aɡˈustu# | *#aɡˈust# {GOLD: #aɡˈust#}
36     | #ˌadiˌektˈaː# | *#ajeptˈa# | *#ajeptˈa# | *#ajeptˈa# {GOLD: #ajeptˈa#}
37     | #ˌadiˈuːnum# | *#aɟ͡ʑˈunu# | *#ad͡ʒˈunu# | *#aʒˈun# {GOLD: #aʒˈun#}
38     | #ˌadiˌuːnˈaː# | *#aɟ͡ʑunˈa# | *#ad͡ʒunˈa# | *#aʒunˈa# {GOLD: #aʒunˈa#}
39     | #ˈakiam# | *#ˈat͡sʲa# | *#ˈat͡sə# | *#ˈat͡sə# {GOLD: #ˈat͡sə#}
40     | #ˌakkˌaptiˈaː# | *#akat͡sʲˈa# | *#akət͡sˈa# | *#akət͡sˈa# {GOLD: #akət͡sˈa#}
41     | #ˈakrum# | *#ˈakru# | *#ˈakɾu# | *#ˈakru# {GOLD: #ˈakru#}
42     | #ˌaksˈunɡiam# | *#asˈund͡zʲa# | *#asˈund͡zə# | *#asˈunzə# {GOLD: #osˈɨnzə#}
43     | #ˈakum# | *#ˈaku# | *#ˈaku# | *#ˈak# {GOLD: #ˈak#}
44     | #ˈakwam# | *#ˈapa# | *#ˈapə# | *#ˈapə# {GOLD: #ˈapə#}
45     | #ˌakwˈaːrium# | *#apˈajru# | *#apˈajɾu# | *#apˈar# {GOLD: #apˈar#}
46     | #ˌakwaːtˈoːsum# | *#apatˈosu# | *#apətˈosu# | *#apətˈos# {GOLD: #apətˈos#}
47     | #ˈakwilam# | *#ˈac͡ɕela# | *#ˈat͡ʃeɾə# | *#ˈat͡ʃerə# {GOLD: #ˈat͡ʃerə#}
48     | #ˌalbˈastrum# | *#albˈastru# | *#albˈastɾu# | *#albˈastru# {GOLD: #albˈastru#}
49     | #ˌalbˈiː# | *#albˈi# | *#albjˈi# | *#albˈi# {GOLD: #albˈi#}
50     | #ˌalbˈoːrem# | *#albˈore# | *#albo̯ˈaɾe# | *#albo̯ˈare# {GOLD: #albo̯ˈare#}
51     | #ˈalbum# | *#ˈalbu# | *#ˈalbu# | *#ˈalb# {GOLD: #ˈalb#}
52     | #ˌallˌewˈaːtum# | *#allˈatu# | *#alˈatu# | *#alˈat# {GOLD: #aluˈat#}
53     | #ˌaltˈaːrium# | *#altˈajru# | *#altˈajɾu# | *#altˈar# {GOLD: #altˈar#}
54     | #ˈalterum# | *#ˈalteru# | *#ˈalteɾu# | *#ˈalter# {GOLD: #ˈalt#}
55     | #ˌaltˈitiam# | *#altˈit͡sʲa# | *#altjˈit͡sə# | *#altˈit͡sə# {GOLD: #altˈit͡sə#}
56     | #ˌalweˈaːrium# | *#albjˈajru# | *#albjˈajɾu# | *#albjˈer# {GOLD: #albjˈer#}
57     | #ˌalweˈolam# | *#albjˈola# | *#albjo̯ˈaɾə# | *#albio̯ˈarə# {GOLD: #albio̯ˈarə#}
58     | #ˌalwˈiːnam# | *#albˈina# | *#albjˈinə# | *#albˈinə# {GOLD: #albˈinə#}
59     | #ˌamˈaːrum# | *#amˈaru# | *#amˈaɾu# | *#amˈar# {GOLD: #amˈar#}
60     | #ˌamaːrˈitiam# | *#amarˈet͡sʲa# | *#aməɾe̯ˈat͡sə# | *#aməre̯ˈat͡sə# {GOLD: #aməre̯ˈat͡sə#}
61     | #ˌamendˈui# | *#amendˈuj# | *#amendˈuj# | *#amɨndˈuj# {GOLD: #amɨndˈoj#}
62     | #ˌammˌattˈiː# | *#ammatˈi# | *#amət͡sˈi# | *#amət͡sˈi# {GOLD: #amet͡sˈi#}
63     | #ˌammˌortˈiː# | *#ammortˈi# | *#amurt͡sˈi# | *#amurt͡sˈi# {GOLD: #amort͡sˈi#}
64     | #ˌammˌutˈiː# | *#ammutˈi# | *#amut͡sˈi# | *#amut͡sˈi# {GOLD: #amut͡sˈi#}
65     | #ˌappˌarˈaː# | *#aparˈa# | *#apəɾˈa# | *#apərˈa# {GOLD: #apərˈa#}
66     | #ˌappˌensˈaː# | *#apesˈa# | *#apesˈa# | *#apəsˈa# {GOLD: #apəsˈa#}
67     | #ˌaprˈiːkum# | *#aprˈiku# | *#apɾˈiku# | *#aprˈiɡ# {GOLD: #ˈapriɡ#}
68     | #ˌarˈaː# | *#arˈa# | *#aɾˈa# | *#arˈa# {GOLD: #arˈa#}
69     | #ˌaraːtˈoːrem# | *#aratˈor# | *#aɾətˈor# | *#arətˈor# {GOLD: #arətˈor#}
70     | #ˌaraːtˈoːrium# | *#aratˈojru# | *#aɾətˈojɾu# | *#arətˈor# {GOLD: #arətˈor#}
71     | #ˌarˈaːtrum# | *#arˈat# | *#aɾˈat# | *#arˈat# {GOLD: #arˈat#}
72     | #ˌarˈaːtum# | *#arˈatu# | *#aɾˈatu# | *#arˈat# {GOLD: #arˈat#}
73     | #ˌaratˈuːram# | *#aratˈura# | *#aɾətˈuɾə# | *#arətˈurə# {GOLD: #arətˈurə#}
74     | #ˈarborem# | *#ˈarbore# | *#ˈarbuɾe# | *#ˈarbure# {GOLD: #ˈarbure#}
75     | #ˌarborˈeːtum# | *#arborˈetu# | *#arbuɾˈetu# | *#arburˈet# {GOLD: #arburˈet#}
76     | #ˈarde# | *#ˈarde# | *#ˈarde# | *#ˈarde# {GOLD: #ˈarde#}
77     | #ˌarɡˈentum# | *#arɟ͡ʑˈɛntu# | *#ard͡ʒˈentu# | *#ard͡ʒˈint# {GOLD: #ard͡ʒˈint#}
78     | #ˌarɡentˈaːrium# | *#arɟ͡ʑentˈajru# | *#ard͡ʒentˈajɾu# | *#ard͡ʒintˈar# {GOLD: #ard͡ʒintˈar#}
